"localizacao","bairro","valor_venda","valor_condominio","valor_iptu","area_util","quartos","banheiros","vagas_na_garagem","academia","area_de_servico","churrasqueira","piscina","condominio_fechado","elevador","permitido_animais","salao_de_festas","portaria","seguranca_24h","mobiliado","armarios_na_cozinha","varanda","ar_condicionado","armarios_no_quarto","portao_eletronico","area_murada","quarto_de_servico"
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",180000,211,0,46,2,2,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Rua Francisco Glicério - até 1468/1469Maraponga, Fortaleza, CE, 60711901, Rua Francisco Glicério - até 1468/1469Maraponga","Maraponga",180000,0,0,36,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0
"Rua Professor Manduca, Mondubim, Fortaleza, CE, 60711555","Mondubim",180000,0,0,63,3,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",180000,200,0,44,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",180000,211,0,45,2,2,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",180000,220,0,48,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",180000,220,0,48,2,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",180000,232,0,65,3,2,2,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
"Rua Holanda, Jardim Cearense, Fortaleza, CE, 60712165","Jardim Cearense",180000,239,0,45,2,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Emílio SáJardim Cearense, Fortaleza, CE, 60712045, Rua Emílio SáJardim Cearense","Jardim Cearense",180000,250,13,68,2,2,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",180000,250,300,60,3,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
"Rua Antônio Divino, Mondubim, Fortaleza, CE, 60711540","Mondubim",180000,270,0,45,2,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Benjamim Brasil - até 1081 - lado ímpar, Jardim Cearense, Fortaleza, CE, 60712003","Jardim Cearense",180000,300,0,52,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Monte Líbano, Mondubim, Fortaleza, CE, 60762376","Mondubim",180000,320,0,44,2,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",180000,380,100,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",180000,380,40,49,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Professor Manduca, Mondubim, Fortaleza, CE, 60711555","Mondubim",180000,470,0,63,3,2,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",184900,219,0,48,2,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Vinícios de Morais - de 552/553 a 1210/1211Maraponga, Fortaleza, CE, 60711095, Rua Vinícios de Morais - de 552/553 a 1210/1211Maraponga","Maraponga",185000,360,0,64,3,2,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",185000,220,0,45,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",185000,250,300,44,2,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",185000,280,NA,68,3,2,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0
"Rua Vinícios de Morais - de 552/553 a 1210/1211Maraponga, Fortaleza, CE, 60711095, Rua Vinícios de Morais - de 552/553 a 1210/1211Maraponga","Maraponga",185000,330,0,64,3,2,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"Rua Bélgica, Maraponga, Fortaleza, CE, 60710790","Maraponga",185000,500,0,56,2,2,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Maraponga, Fortaleza, CE, 60710830, NA","Maraponga",185000,500,NA,56,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",189000,0,0,50,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
