"Valor","Localizacao","Caracteristicas","Caracteristicas_Imovel"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
NA,NA,NA,"Segurança 24h"
"R$ 412.000R$ 411.900VendaCondomínioR$ 420 / mêsIPTUR$ 0Simular financiamento(85) 3467-6...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Mirtil MeyerMondubim, Fortaleza, CE, 60762080","Área útil63m²","Academia"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 520.000VendaCondomínioR$ 450 / mêsIPTUR$ 13Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil85m²","Academia"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem2","Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 520.000VendaCondomínioR$ 200 / mêsIPTUR$ 100Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil64m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem2",NA
"R$ 520.000VendaCondomínioR$ 300 / mêsIPTUR$ 100Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil64m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 189.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 3044-0...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil50m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
"R$ 220.000VendaCondomínioR$ 267 / mêsIPTUR$ 0Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Vinícios de Morais - de 552/553 a 1210/1211Maraponga, Fortaleza, CE, 60711095","Área útil65m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem2",NA
"R$ 45.000VendaCondomínioR$ 100 / mêsIPTUR$ 100Simular financiamento(85) 99629-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua ItaciraMondubim, Fortaleza, CE, 60711446","Área útil45m²","Condomínio fechado"
NA,NA,"Quartos2","Permitido animais"
NA,NA,"Banheiros1","Portaria"
NA,NA,"Vagas na garagem1",NA
"R$ 175.000VendaCondomínioR$ 210 / mêsIPTUR$ 0Simular financiamento(85) 99727-2...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil45m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 160.000VendaCondomínioR$ 350 / mêsIPTUR$ 0Simular financiamento(85) 99727-2...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil47m²","Condomínio fechado"
NA,NA,"Quartos2","Permitido animais"
NA,NA,"Banheiros1","Portaria"
NA,NA,"Vagas na garagem1",NA
"R$ 135.000VendaCondomínioR$ 350 / mêsIPTUR$ 13Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil45m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1",NA
"R$ 135.000VendaCondomínioR$ 350 / mêsIPTUR$ 80Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil48m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1","Salão de festas"
"R$ 150.000VendaCondomínioR$ 289 / mêsIPTUR$ 13Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil65m²","Churrasqueira"
NA,NA,"Quartos3","Condomínio fechado"
NA,NA,"Banheiros2","Permitido animais"
NA,NA,"Vagas na garagem1",NA
"R$ 539.900VendaCondomínioR$ 600 / mêsIPTUR$ 0Simular financiamento(85) 99971-1...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil64m²","Ar condicionado"
NA,NA,"Quartos3","Área de serviço"
NA,NA,"Banheiros2","Condomínio fechado"
NA,NA,"Vagas na garagem2","Elevador"
NA,NA,NA,"Permitido animais"
"R$ 150.000VendaCondomínioR$ 300 / mêsIPTUR$ 100Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil71m²","Churrasqueira"
NA,NA,"Quartos3","Condomínio fechado"
NA,NA,"Banheiros2","Permitido animais"
NA,NA,"Vagas na garagem1","Salão de festas"
"R$ 150.000VendaCondomínioR$ 280 / mêsIPTUR$ 100Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil71m²","Churrasqueira"
NA,NA,"Quartos3","Condomínio fechado"
NA,NA,"Banheiros2","Permitido animais"
NA,NA,"Vagas na garagem1","Salão de festas"
"R$ 135.000VendaCondomínioR$ 380 / mêsIPTUR$ 50Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil45m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1","Salão de festas"
"R$ 135.000VendaCondomínioR$ 380 / mêsIPTUR$ 50Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil45m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1","Salão de festas"
